CustomerID,Gender,Age,Married,NumberofDependents,City,ZipCode,Population,NumberofReferrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,TotalCharges,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,Churn,ChurnCategory,ChurnReason,predictions,pred_probabilities
8098-LLAZX,0,74,0,0,San Diego,92122,34902,0,4,Offer E,1,31.61,Yes,1,Fiber Optic,2.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,1,Competitor,Competitor made better offer,1,0.9992963
5178-LMXOP,1,71,1,0,Gardena,90248,9960,1,1,None,1,4.89,Yes,1,Fiber Optic,11.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,95.1,95.1,0.0,0,4.89,99.99,1,Price,Price too high,1,0.9992556
1075-BGWOH,1,69,1,0,Rosemead,91770,61623,1,16,None,1,15.16,Yes,1,Fiber Optic,7.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,98.75,1587.55,0.0,0,242.56,1830.11,1,Attitude,Attitude of support person,1,0.9988655
8779-QRDMV,1,78,0,0,Los Angeles,90022,68701,0,1,None,0,0.0,Unknown,1,DSL,8.0,No,No,Yes,No,No,Yes,No,No,Month-to-Month,1,Bank Withdrawal,39.65,39.65,0.0,20,0.0,59.65,1,Competitor,Competitor offered more data,1,0.99874395
1268-ASBGA,0,66,1,0,Huntington Park,90255,78114,1,16,Offer D,1,9.93,Yes,1,Fiber Optic,27.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,1,Credit Card,85.35,1375.15,0.0,0,158.88,1534.03,1,Dissatisfaction,Limited range of services,1,0.9983854
2265-CYWIV,0,68,1,0,Hickman,95323,1055,1,4,None,1,18.91,Yes,1,Fiber Optic,20.0,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,99.6,347.65,25.79,0,75.64,397.5,1,Dissatisfaction,Network reliability,1,0.99776924
2956-GGUCQ,1,71,1,0,Pioneer,95666,5501,1,24,None,1,2.05,Yes,1,Fiber Optic,22.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,78.85,1772.25,0.0,0,49.2,1821.45,1,Attitude,Attitude of service provider,1,0.9975581
4806-HIPDW,0,64,1,0,Calimesa,92320,7334,1,1,Offer E,1,21.65,No,1,Fiber Optic,13.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,68.95,68.95,0.0,0,21.65,90.6,1,Dissatisfaction,Limited range of services,1,0.99743867
3801-HMYNL,1,44,1,0,Brooks,95606,382,1,1,None,1,32.35,No,1,Fiber Optic,18.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,0,Mailed Check,89.15,89.15,0.0,0,32.35,121.5,1,Competitor,Competitor had better devices,1,0.99701476
7932-WPTDS,0,77,1,0,San Diego,92126,74232,1,1,None,0,0.0,Unknown,1,DSL,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,24.8,24.8,0.0,0,0.0,24.8,1,Competitor,Competitor made better offer,1,0.99661106
4424-TKOPW,1,70,0,0,Crestline,92325,10484,0,2,None,1,25.19,Yes,1,Fiber Optic,14.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,93.85,196.75,0.0,0,50.38,247.13,1,Price,Lack of affordable download/upload speed,1,0.9962871
8519-IMDHU,1,74,1,0,Alderpoint,95511,261,1,15,None,1,45.25,Yes,1,Cable,22.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,85.6,1345.55,0.0,0,678.75,2024.3,1,Competitor,Competitor had better devices,1,0.9961598
4702-IOQDC,0,58,0,0,Gustine,95322,7872,0,1,Offer E,1,46.17,No,1,Fiber Optic,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,70.1,70.1,0.0,0,46.17,116.27,1,Competitor,Competitor offered higher download speeds,1,0.9958405
9248-OJYKK,1,74,0,0,San Diego,92121,4258,0,1,None,1,3.84,Yes,1,Fiber Optic,13.0,No,No,No,No,No,No,No,No,Month-to-Month,1,Bank Withdrawal,76.45,76.45,0.0,10,3.84,90.29,1,Competitor,Competitor made better offer,1,0.9958087
0616-ATFGB,1,74,1,0,Shasta Lake,96019,6277,1,1,Offer E,0,0.0,Unknown,1,Cable,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,0,Bank Withdrawal,25.05,25.05,0.0,0,0.0,25.05,1,Competitor,Competitor had better devices,1,0.9957638
4039-HEUNW,1,77,1,0,Irvine,92620,26419,1,36,None,1,16.61,Yes,1,Fiber Optic,3.0,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,96.5,3436.1,0.0,0,597.96,4034.06,1,Price,Lack of affordable download/upload speed,1,0.9956637
7235-NXZCP,1,79,0,0,Hornbrook,96044,1026,0,2,Offer E,1,45.41,Yes,1,Fiber Optic,18.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Mailed Check,74.85,156.4,0.0,0,90.82,247.22,1,Competitor,Competitor made better offer,1,0.99506086
1564-NTYXF,0,79,0,0,San Marcos,92078,6760,0,13,None,1,4.45,Yes,1,Fiber Optic,25.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,82.0,1127.2,0.0,0,57.85,1185.05,1,Attitude,Attitude of support person,1,0.99448276
8972-HJWNV,0,75,1,0,Huron,93234,6918,1,7,Offer E,1,21.43,Yes,1,Fiber Optic,12.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,84.55,646.85,0.0,0,150.01,796.86,1,Competitor,Competitor made better offer,1,0.9943652
2568-OIADY,0,26,1,0,Escondido,92027,48690,1,37,None,1,36.29,Yes,1,Fiber Optic,27.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,1,Bank Withdrawal,99.5,3762.0,0.0,0,1342.73,5104.73,1,Competitor,Competitor made better offer,1,0.994216
8510-AWCXC,0,69,0,0,Novato,94945,16429,0,13,Offer D,1,7.22,Yes,1,Fiber Optic,28.0,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,1,Bank Withdrawal,100.8,1308.1,0.0,0,93.86,1401.96,1,Attitude,Attitude of support person,1,0.9941685
7074-IEVOJ,0,75,0,0,San Francisco,94130,1458,0,3,None,1,41.9,Yes,1,Fiber Optic,11.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,79.4,205.05,0.0,0,125.7,330.75,1,Dissatisfaction,Product dissatisfaction,1,0.99388945
5875-YPQFJ,1,51,0,0,Fremont,94555,33883,0,1,Offer E,1,45.66,No,1,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,1,Bank Withdrawal,69.9,69.9,0.0,0,45.66,115.56,1,Competitor,Competitor offered higher download speeds,1,0.9938473
